"locationName","date.start","detected"
"SK01",2023-03-26,0
"SK02",2023-03-26,0
"SK03",2023-03-26,0
"SK04",2023-03-26,0
"SK05",2023-03-26,0
"SK06",2023-03-26,0
"SK07",2023-03-26,0
"SK08",2023-03-26,0
"SK09",2023-03-26,0
"SK10",2023-03-26,0
"SK11",2023-03-26,0
"SK12",2023-03-26,0
"SK13",2023-03-26,0
"SK14",2023-03-26,0
"SK15",2023-03-26,0
"SK16",2023-03-26,0
"SK17",2023-03-26,0
"SK18",2023-03-26,0
"SK19",2023-03-26,0
"SK20",2023-03-26,0
"SK21",2023-03-26,0
"SK22",2023-03-26,0
"SK23",2023-03-26,0
"SK24",2023-03-26,0
"SK25",2023-03-26,0
"SK26",2023-03-26,0
"SK27",2023-03-26,0
"SK28",2023-03-26,0
"SK29",2023-03-26,0
"SK30",2023-03-26,0
"SK01",2023-03-27,0
"SK02",2023-03-27,0
"SK03",2023-03-27,0
"SK04",2023-03-27,0
"SK05",2023-03-27,0
"SK06",2023-03-27,0
"SK07",2023-03-27,0
"SK08",2023-03-27,0
"SK09",2023-03-27,0
"SK10",2023-03-27,0
"SK11",2023-03-27,0
"SK12",2023-03-27,0
"SK13",2023-03-27,0
"SK14",2023-03-27,0
"SK15",2023-03-27,0
"SK16",2023-03-27,0
"SK17",2023-03-27,0
"SK18",2023-03-27,0
"SK19",2023-03-27,0
"SK20",2023-03-27,0
"SK21",2023-03-27,0
"SK22",2023-03-27,0
"SK23",2023-03-27,0
"SK24",2023-03-27,0
"SK25",2023-03-27,0
"SK26",2023-03-27,0
"SK27",2023-03-27,0
"SK28",2023-03-27,0
"SK29",2023-03-27,0
"SK30",2023-03-27,0
"SK01",2023-03-28,0
"SK02",2023-03-28,0
"SK03",2023-03-28,0
"SK04",2023-03-28,0
"SK05",2023-03-28,0
"SK06",2023-03-28,0
"SK07",2023-03-28,0
"SK08",2023-03-28,0
"SK09",2023-03-28,0
"SK10",2023-03-28,0
"SK11",2023-03-28,0
"SK12",2023-03-28,0
"SK13",2023-03-28,0
"SK14",2023-03-28,0
"SK15",2023-03-28,0
"SK16",2023-03-28,0
"SK17",2023-03-28,0
"SK18",2023-03-28,0
"SK19",2023-03-28,0
"SK20",2023-03-28,0
"SK21",2023-03-28,0
"SK22",2023-03-28,0
"SK23",2023-03-28,0
"SK24",2023-03-28,0
"SK25",2023-03-28,0
"SK26",2023-03-28,0
"SK27",2023-03-28,0
"SK28",2023-03-28,0
"SK29",2023-03-28,0
"SK30",2023-03-28,0
"SK01",2023-03-29,0
"SK02",2023-03-29,0
"SK03",2023-03-29,0
"SK04",2023-03-29,0
"SK05",2023-03-29,0
"SK06",2023-03-29,0
"SK07",2023-03-29,0
"SK08",2023-03-29,0
"SK09",2023-03-29,0
"SK10",2023-03-29,0
"SK11",2023-03-29,0
"SK12",2023-03-29,0
"SK13",2023-03-29,0
"SK14",2023-03-29,0
"SK15",2023-03-29,0
"SK16",2023-03-29,0
"SK17",2023-03-29,0
"SK18",2023-03-29,0
"SK19",2023-03-29,0
"SK20",2023-03-29,0
"SK21",2023-03-29,0
"SK22",2023-03-29,0
"SK23",2023-03-29,0
"SK24",2023-03-29,0
"SK25",2023-03-29,0
"SK26",2023-03-29,0
"SK27",2023-03-29,0
"SK28",2023-03-29,0
"SK29",2023-03-29,0
"SK30",2023-03-29,0
"SK01",2023-03-30,0
"SK02",2023-03-30,0
"SK03",2023-03-30,0
"SK04",2023-03-30,0
"SK05",2023-03-30,0
"SK06",2023-03-30,0
"SK07",2023-03-30,0
"SK08",2023-03-30,0
"SK09",2023-03-30,0
"SK10",2023-03-30,0
"SK11",2023-03-30,0
"SK12",2023-03-30,0
"SK13",2023-03-30,0
"SK14",2023-03-30,0
"SK15",2023-03-30,0
"SK16",2023-03-30,0
"SK17",2023-03-30,0
"SK18",2023-03-30,0
"SK19",2023-03-30,0
"SK20",2023-03-30,0
"SK21",2023-03-30,0
"SK22",2023-03-30,0
"SK23",2023-03-30,0
"SK24",2023-03-30,0
"SK25",2023-03-30,0
"SK26",2023-03-30,0
"SK27",2023-03-30,0
"SK28",2023-03-30,0
"SK29",2023-03-30,0
"SK30",2023-03-30,0
"SK01",2023-03-31,0
"SK02",2023-03-31,0
"SK03",2023-03-31,0
"SK04",2023-03-31,0
"SK05",2023-03-31,0
"SK06",2023-03-31,0
"SK07",2023-03-31,0
"SK08",2023-03-31,0
"SK09",2023-03-31,0
"SK10",2023-03-31,0
"SK11",2023-03-31,0
"SK12",2023-03-31,0
"SK13",2023-03-31,0
"SK14",2023-03-31,0
"SK15",2023-03-31,0
"SK16",2023-03-31,0
"SK17",2023-03-31,0
"SK18",2023-03-31,0
"SK19",2023-03-31,0
"SK20",2023-03-31,0
"SK21",2023-03-31,0
"SK22",2023-03-31,0
"SK23",2023-03-31,0
"SK24",2023-03-31,0
"SK25",2023-03-31,0
"SK26",2023-03-31,0
"SK27",2023-03-31,0
"SK28",2023-03-31,0
"SK29",2023-03-31,0
"SK30",2023-03-31,0
"SK01",2023-04-01,0
"SK02",2023-04-01,0
"SK03",2023-04-01,0
"SK04",2023-04-01,0
"SK05",2023-04-01,0
"SK06",2023-04-01,0
"SK07",2023-04-01,0
"SK08",2023-04-01,0
"SK09",2023-04-01,0
"SK10",2023-04-01,0
"SK11",2023-04-01,0
"SK12",2023-04-01,0
"SK13",2023-04-01,0
"SK14",2023-04-01,0
"SK15",2023-04-01,0
"SK16",2023-04-01,0
"SK17",2023-04-01,0
"SK18",2023-04-01,0
"SK19",2023-04-01,0
"SK20",2023-04-01,0
"SK21",2023-04-01,0
"SK22",2023-04-01,0
"SK23",2023-04-01,0
"SK24",2023-04-01,0
"SK25",2023-04-01,0
"SK26",2023-04-01,0
"SK27",2023-04-01,0
"SK28",2023-04-01,0
"SK29",2023-04-01,0
"SK30",2023-04-01,0
"SK01",2023-04-02,0
"SK02",2023-04-02,0
"SK03",2023-04-02,0
"SK04",2023-04-02,0
"SK05",2023-04-02,0
"SK06",2023-04-02,0
"SK07",2023-04-02,0
"SK08",2023-04-02,0
"SK09",2023-04-02,0
"SK10",2023-04-02,0
"SK11",2023-04-02,0
"SK12",2023-04-02,0
"SK13",2023-04-02,0
"SK14",2023-04-02,0
"SK15",2023-04-02,0
"SK16",2023-04-02,0
"SK17",2023-04-02,0
"SK18",2023-04-02,0
"SK19",2023-04-02,0
"SK20",2023-04-02,0
"SK21",2023-04-02,0
"SK22",2023-04-02,0
"SK23",2023-04-02,0
"SK24",2023-04-02,0
"SK25",2023-04-02,0
"SK26",2023-04-02,0
"SK27",2023-04-02,0
"SK28",2023-04-02,0
"SK29",2023-04-02,0
"SK30",2023-04-02,0
"SK01",2023-04-03,0
"SK02",2023-04-03,0
"SK03",2023-04-03,0
"SK04",2023-04-03,0
"SK05",2023-04-03,0
"SK06",2023-04-03,0
"SK07",2023-04-03,0
"SK08",2023-04-03,0
"SK09",2023-04-03,0
"SK10",2023-04-03,0
"SK11",2023-04-03,0
"SK12",2023-04-03,0
"SK13",2023-04-03,0
"SK14",2023-04-03,0
"SK15",2023-04-03,0
"SK16",2023-04-03,0
"SK17",2023-04-03,0
"SK18",2023-04-03,0
"SK19",2023-04-03,0
"SK20",2023-04-03,0
"SK21",2023-04-03,0
"SK22",2023-04-03,0
"SK23",2023-04-03,0
"SK24",2023-04-03,0
"SK25",2023-04-03,0
"SK26",2023-04-03,0
"SK27",2023-04-03,0
"SK28",2023-04-03,0
"SK29",2023-04-03,0
"SK30",2023-04-03,0
"SK01",2023-04-04,0
"SK02",2023-04-04,0
"SK03",2023-04-04,0
"SK04",2023-04-04,0
"SK05",2023-04-04,0
"SK06",2023-04-04,0
"SK07",2023-04-04,0
"SK08",2023-04-04,0
"SK09",2023-04-04,0
"SK10",2023-04-04,0
"SK11",2023-04-04,0
"SK12",2023-04-04,0
"SK13",2023-04-04,0
"SK14",2023-04-04,0
"SK15",2023-04-04,0
"SK16",2023-04-04,0
"SK17",2023-04-04,0
"SK18",2023-04-04,0
"SK19",2023-04-04,0
"SK20",2023-04-04,0
"SK21",2023-04-04,0
"SK22",2023-04-04,0
"SK23",2023-04-04,0
"SK24",2023-04-04,0
"SK25",2023-04-04,0
"SK26",2023-04-04,0
"SK27",2023-04-04,0
"SK28",2023-04-04,0
"SK29",2023-04-04,0
"SK30",2023-04-04,0
"SK01",2023-04-05,0
"SK02",2023-04-05,0
"SK03",2023-04-05,0
"SK04",2023-04-05,0
"SK05",2023-04-05,0
"SK06",2023-04-05,0
"SK07",2023-04-05,0
"SK08",2023-04-05,0
"SK09",2023-04-05,0
"SK10",2023-04-05,0
"SK11",2023-04-05,0
"SK12",2023-04-05,0
"SK13",2023-04-05,0
"SK14",2023-04-05,0
"SK15",2023-04-05,0
"SK16",2023-04-05,0
"SK17",2023-04-05,0
"SK18",2023-04-05,0
"SK19",2023-04-05,0
"SK20",2023-04-05,0
"SK21",2023-04-05,0
"SK22",2023-04-05,0
"SK23",2023-04-05,0
"SK24",2023-04-05,0
"SK25",2023-04-05,0
"SK26",2023-04-05,0
"SK27",2023-04-05,0
"SK28",2023-04-05,0
"SK29",2023-04-05,0
"SK30",2023-04-05,0
"SK01",2023-04-06,0
"SK02",2023-04-06,0
"SK03",2023-04-06,0
"SK04",2023-04-06,0
"SK05",2023-04-06,0
"SK06",2023-04-06,0
"SK07",2023-04-06,0
"SK08",2023-04-06,0
"SK09",2023-04-06,0
"SK10",2023-04-06,0
"SK11",2023-04-06,0
"SK12",2023-04-06,0
"SK13",2023-04-06,0
"SK14",2023-04-06,0
"SK15",2023-04-06,0
"SK16",2023-04-06,0
"SK17",2023-04-06,0
"SK18",2023-04-06,0
"SK19",2023-04-06,0
"SK20",2023-04-06,0
"SK21",2023-04-06,0
"SK22",2023-04-06,0
"SK23",2023-04-06,0
"SK24",2023-04-06,0
"SK25",2023-04-06,0
"SK26",2023-04-06,0
"SK27",2023-04-06,0
"SK28",2023-04-06,0
"SK29",2023-04-06,0
"SK30",2023-04-06,0
"SK01",2023-04-07,0
"SK02",2023-04-07,0
"SK03",2023-04-07,0
"SK04",2023-04-07,0
"SK05",2023-04-07,0
"SK06",2023-04-07,0
"SK07",2023-04-07,0
"SK08",2023-04-07,0
"SK09",2023-04-07,0
"SK10",2023-04-07,0
"SK11",2023-04-07,0
"SK12",2023-04-07,0
"SK13",2023-04-07,0
"SK14",2023-04-07,0
"SK15",2023-04-07,0
"SK16",2023-04-07,0
"SK17",2023-04-07,0
"SK18",2023-04-07,0
"SK19",2023-04-07,0
"SK20",2023-04-07,0
"SK21",2023-04-07,0
"SK22",2023-04-07,0
"SK23",2023-04-07,0
"SK24",2023-04-07,0
"SK25",2023-04-07,0
"SK26",2023-04-07,0
"SK27",2023-04-07,0
"SK28",2023-04-07,0
"SK29",2023-04-07,0
"SK30",2023-04-07,0
"SK01",2023-04-08,0
"SK02",2023-04-08,0
"SK03",2023-04-08,0
"SK04",2023-04-08,0
"SK05",2023-04-08,0
"SK06",2023-04-08,0
"SK07",2023-04-08,0
"SK08",2023-04-08,0
"SK09",2023-04-08,0
"SK10",2023-04-08,0
"SK11",2023-04-08,0
"SK12",2023-04-08,0
"SK13",2023-04-08,0
"SK14",2023-04-08,0
"SK15",2023-04-08,0
"SK16",2023-04-08,0
"SK17",2023-04-08,0
"SK18",2023-04-08,0
"SK19",2023-04-08,0
"SK20",2023-04-08,0
"SK21",2023-04-08,0
"SK22",2023-04-08,0
"SK23",2023-04-08,0
"SK24",2023-04-08,0
"SK25",2023-04-08,0
"SK26",2023-04-08,0
"SK27",2023-04-08,0
"SK28",2023-04-08,0
"SK29",2023-04-08,0
"SK30",2023-04-08,0
"SK01",2023-04-09,0
"SK02",2023-04-09,0
"SK03",2023-04-09,0
"SK04",2023-04-09,0
"SK05",2023-04-09,0
"SK06",2023-04-09,0
"SK07",2023-04-09,0
"SK08",2023-04-09,0
"SK09",2023-04-09,0
"SK10",2023-04-09,0
"SK11",2023-04-09,0
"SK12",2023-04-09,0
"SK13",2023-04-09,0
"SK14",2023-04-09,0
"SK15",2023-04-09,0
"SK16",2023-04-09,0
"SK17",2023-04-09,0
"SK18",2023-04-09,0
"SK19",2023-04-09,0
"SK20",2023-04-09,0
"SK21",2023-04-09,0
"SK22",2023-04-09,0
"SK23",2023-04-09,0
"SK24",2023-04-09,0
"SK25",2023-04-09,0
"SK26",2023-04-09,0
"SK27",2023-04-09,0
"SK28",2023-04-09,0
"SK29",2023-04-09,0
"SK30",2023-04-09,0
"SK01",2023-04-10,0
"SK02",2023-04-10,0
"SK03",2023-04-10,0
"SK04",2023-04-10,0
"SK05",2023-04-10,0
"SK06",2023-04-10,0
"SK07",2023-04-10,0
"SK08",2023-04-10,0
"SK09",2023-04-10,0
"SK10",2023-04-10,0
"SK11",2023-04-10,0
"SK12",2023-04-10,0
"SK13",2023-04-10,0
"SK14",2023-04-10,0
"SK15",2023-04-10,0
"SK16",2023-04-10,0
"SK17",2023-04-10,0
"SK18",2023-04-10,0
"SK19",2023-04-10,0
"SK20",2023-04-10,0
"SK21",2023-04-10,0
"SK22",2023-04-10,0
"SK23",2023-04-10,0
"SK24",2023-04-10,0
"SK25",2023-04-10,0
"SK26",2023-04-10,0
"SK27",2023-04-10,0
"SK28",2023-04-10,0
"SK29",2023-04-10,0
"SK30",2023-04-10,0
"SK01",2023-04-11,0
"SK02",2023-04-11,0
"SK03",2023-04-11,0
"SK04",2023-04-11,0
"SK05",2023-04-11,0
"SK06",2023-04-11,0
"SK07",2023-04-11,0
"SK08",2023-04-11,0
"SK09",2023-04-11,0
"SK10",2023-04-11,0
"SK11",2023-04-11,0
"SK12",2023-04-11,0
"SK13",2023-04-11,0
"SK14",2023-04-11,0
"SK15",2023-04-11,0
"SK16",2023-04-11,0
"SK17",2023-04-11,0
"SK18",2023-04-11,0
"SK19",2023-04-11,0
"SK20",2023-04-11,0
"SK21",2023-04-11,0
"SK22",2023-04-11,0
"SK23",2023-04-11,0
"SK24",2023-04-11,0
"SK25",2023-04-11,0
"SK26",2023-04-11,0
"SK27",2023-04-11,0
"SK28",2023-04-11,0
"SK29",2023-04-11,0
"SK30",2023-04-11,0
"SK01",2023-04-12,0
"SK02",2023-04-12,0
"SK03",2023-04-12,0
"SK04",2023-04-12,0
"SK05",2023-04-12,0
"SK06",2023-04-12,0
"SK07",2023-04-12,0
"SK08",2023-04-12,0
"SK09",2023-04-12,0
"SK10",2023-04-12,0
"SK11",2023-04-12,0
"SK12",2023-04-12,0
"SK13",2023-04-12,0
"SK14",2023-04-12,0
"SK15",2023-04-12,0
"SK16",2023-04-12,0
"SK17",2023-04-12,0
"SK18",2023-04-12,0
"SK19",2023-04-12,0
"SK20",2023-04-12,0
"SK21",2023-04-12,0
"SK22",2023-04-12,0
"SK23",2023-04-12,0
"SK24",2023-04-12,0
"SK25",2023-04-12,0
"SK26",2023-04-12,0
"SK27",2023-04-12,0
"SK28",2023-04-12,0
"SK29",2023-04-12,0
"SK30",2023-04-12,0
"SK01",2023-04-13,0
"SK02",2023-04-13,0
"SK03",2023-04-13,0
"SK04",2023-04-13,0
"SK05",2023-04-13,0
"SK06",2023-04-13,0
