"locationName","date.start","detected"
"SK01",2023-06-03,"down"
"SK01",2023-06-04,"down"
"SK01",2023-06-05,"down"
"SK01",2023-06-06,"down"
"SK01",2023-06-07,"down"
"SK02",2023-05-08,"down"
"SK02",2023-05-09,"down"
"SK02",2023-05-10,"down"
"SK02",2023-05-11,"down"
"SK02",2023-05-12,"down"
"SK02",2023-05-13,"down"
"SK02",2023-05-14,"down"
"SK02",2023-05-15,"down"
"SK02",2023-05-16,"down"
"SK02",2023-05-17,"down"
"SK02",2023-05-18,"down"
"SK02",2023-05-19,"down"
"SK02",2023-05-20,"down"
"SK02",2023-05-21,"down"
"SK02",2023-05-22,"down"
"SK02",2023-05-23,"down"
"SK02",2023-05-24,"down"
"SK02",2023-05-25,"down"
"SK02",2023-06-05,"down"
"SK02",2023-06-06,"down"
"SK02",2023-06-07,"down"
"SK03",2023-06-05,"down"
"SK03",2023-06-06,"down"
"SK03",2023-06-07,"down"
"SK05",2023-05-16,"down"
"SK05",2023-05-17,"down"
"SK05",2023-05-18,"down"
"SK05",2023-05-19,"down"
"SK05",2023-05-20,"down"
"SK05",2023-05-21,"down"
"SK05",2023-05-22,"down"
"SK05",2023-05-23,"down"
"SK05",2023-05-24,"down"
"SK05",2023-05-25,"down"
"SK06",2023-05-19,"down"
"SK06",2023-05-20,"down"
"SK06",2023-05-21,"down"
"SK06",2023-05-22,"down"
"SK11",2023-05-04,"down"
"SK11",2023-05-05,"down"
"SK11",2023-05-06,"down"
"SK11",2023-05-07,"down"
"SK11",2023-05-08,"down"
"SK11",2023-05-09,"down"
"SK11",2023-05-10,"down"
"SK11",2023-05-11,"down"
"SK11",2023-05-12,"down"
"SK11",2023-05-13,"down"
"SK11",2023-05-14,"down"
"SK11",2023-05-15,"down"
"SK11",2023-05-16,"down"
"SK11",2023-05-17,"down"
"SK11",2023-05-18,"down"
"SK11",2023-05-19,"down"
"SK11",2023-05-20,"down"
"SK11",2023-05-21,"down"
"SK17",2023-04-06,"down"
"SK17",2023-04-07,"down"
"SK17",2023-04-08,"down"
"SK17",2023-04-09,"down"
"SK17",2023-04-10,"down"
"SK17",2023-04-11,"down"
"SK17",2023-04-12,"down"
"SK17",2023-04-13,"down"
"SK17",2023-04-14,"down"
"SK17",2023-04-15,"down"
"SK17",2023-04-16,"down"
"SK17",2023-04-17,"down"
"SK17",2023-04-18,"down"
"SK17",2023-04-19,"down"
"SK17",2023-04-20,"down"
"SK17",2023-04-21,"down"
"SK17",2023-04-22,"down"
"SK17",2023-04-23,"down"
"SK17",2023-04-24,"down"
"SK17",2023-04-29,"down"
"SK17",2023-04-30,"down"
"SK17",2023-05-01,"down"
"SK17",2023-05-02,"down"
"SK17",2023-05-03,"down"
"SK17",2023-05-04,"down"
"SK17",2023-05-05,"down"
"SK17",2023-05-06,"down"
"SK17",2023-05-07,"down"
"SK17",2023-05-08,"down"
"SK17",2023-05-09,"down"
"SK17",2023-05-10,"down"
"SK17",2023-05-11,"down"
"SK17",2023-05-12,"down"
"SK17",2023-05-13,"down"
"SK17",2023-05-14,"down"
"SK17",2023-05-15,"down"
"SK17",2023-05-16,"down"
"SK17",2023-05-17,"down"
"SK17",2023-05-18,"down"
"SK18",2023-05-28,"down"
"SK18",2023-05-29,"down"
"SK18",2023-05-30,"down"
"SK18",2023-05-31,"down"
"SK18",2023-06-01,"down"
"SK18",2023-06-02,"down"
"SK18",2023-06-03,"down"
"SK18",2023-06-04,"down"
"SK18",2023-06-05,"down"
"SK18",2023-06-06,"down"
"SK18",2023-06-07,"down"
"SK21",2023-05-28,"down"
"SK21",2023-05-29,"down"
"SK21",2023-05-30,"down"
"SK21",2023-05-31,"down"
"SK21",2023-06-01,"down"
"SK21",2023-06-02,"down"
"SK21",2023-06-03,"down"
"SK21",2023-06-04,"down"
"SK21",2023-06-05,"down"
"SK21",2023-06-06,"down"
"SK21",2023-06-07,"down"
"SK22",2023-06-05,"down"
"SK22",2023-06-06,"down"
"SK22",2023-06-07,"down"
"SK24",2023-05-07,"down"
"SK24",2023-05-08,"down"
"SK24",2023-05-09,"down"
"SK24",2023-05-10,"down"
"SK24",2023-05-11,"down"
"SK24",2023-05-12,"down"
"SK24",2023-05-13,"down"
"SK24",2023-05-14,"down"
"SK24",2023-05-15,"down"
"SK24",2023-05-16,"down"
"SK24",2023-05-17,"down"
"SK24",2023-05-18,"down"
"SK24",2023-05-19,"down"
"SK24",2023-05-20,"down"
"SK24",2023-05-21,"down"
"SK24",2023-05-22,"down"
"SK25",2023-06-07,"down"
"SK26",2023-05-12,"down"
"SK26",2023-05-13,"down"
"SK26",2023-05-14,"down"
"SK26",2023-05-15,"down"
"SK26",2023-05-16,"down"
"SK26",2023-05-17,"down"
"SK26",2023-05-18,"down"
"SK26",2023-05-19,"down"
"SK26",2023-05-20,"down"
"SK26",2023-05-21,"down"
"SK26",2023-05-22,"down"
"SK28",2023-05-25,"down"
"SK28",2023-05-26,"down"
"SK28",2023-05-27,"down"
"SK28",2023-05-28,"down"
"SK28",2023-05-29,"down"
"SK28",2023-05-30,"down"
"SK28",2023-05-31,"down"
"SK28",2023-06-01,"down"
"SK28",2023-06-02,"down"
"SK28",2023-06-03,"down"
"SK28",2023-06-04,"down"
"SK28",2023-06-05,"down"
"SK28",2023-06-06,"down"
"SK28",2023-06-07,"down"
