"locationName","date.start","detected"
"SK05",2023-05-03,1
"SK09",2023-03-27,1
"SK09",2023-03-28,1
"SK09",2023-04-02,1
"SK09",2023-04-03,1
"SK09",2023-04-04,1
"SK09",2023-04-12,1
"SK09",2023-04-13,1
"SK09",2023-04-18,1
"SK09",2023-04-20,1
"SK09",2023-04-22,1
"SK09",2023-04-25,1
"SK24",2023-03-27,1
"SK24",2023-03-28,1
"SK24",2023-03-29,1
"SK24",2023-03-30,1
"SK24",2023-03-31,1
"SK24",2023-04-01,1
"SK24",2023-04-02,1
"SK24",2023-04-03,1
"SK24",2023-04-06,1
"SK24",2023-04-07,1
"SK24",2023-04-08,1
"SK24",2023-04-10,1
"SK24",2023-04-12,1
"SK24",2023-04-13,1
"SK06",2023-05-23,1
"SK06",2023-05-25,1
"SK04",2023-05-26,1
"SK04",2023-05-28,1
"SK04",2023-05-29,1
"SK04",2023-05-31,1
"SK04",2023-06-01,1
"SK04",2023-06-02,1
"SK21",2023-03-28,1
"SK01",2023-03-27,1
"SK01",2023-03-30,1
"SK01",2023-04-02,1
"SK01",2023-04-05,1
"SK01",2023-04-06,1
"SK01",2023-04-07,1
"SK01",2023-04-08,1
"SK01",2023-04-10,1
"SK01",2023-04-13,1
"SK01",2023-04-14,1
"SK01",2023-04-16,1
"SK28",2023-04-07,1
"SK28",2023-04-08,1
"SK28",2023-04-09,1
"SK28",2023-04-10,1
"SK28",2023-04-11,1
"SK28",2023-04-13,1
"SK28",2023-04-14,1
"SK28",2023-04-16,1
"SK28",2023-04-17,1
"SK28",2023-04-18,1
"SK28",2023-04-19,1
"SK28",2023-04-20,1
"SK28",2023-04-22,1
"SK28",2023-04-23,1
"SK28",2023-04-25,1
"SK24",2023-04-25,1
"SK26",2023-05-28,1
"SK26",2023-05-29,1
"SK30",2023-05-29,1
"SK30",2023-03-27,1
"SK11",2023-04-14,1
"SK11",2023-04-17,1
"SK11",2023-04-18,1
"SK11",2023-04-19,1
"SK11",2023-04-20,1
"SK11",2023-04-21,1
"SK11",2023-04-22,1
"SK11",2023-04-23,1
"SK11",2023-04-24,1
"SK24",2023-05-31,1
"SK24",2023-06-01,1
"SK16",2023-03-26,1
"SK16",2023-03-28,1
"SK16",2023-03-29,1
"SK16",2023-04-03,1
"SK16",2023-04-06,1
"SK09",2023-04-29,1
"SK02",2023-04-08,1
"SK02",2023-04-09,1
"SK02",2023-04-18,1
"SK17",2023-03-28,1
"SK17",2023-04-03,1
"SK04",2023-03-31,1
"SK04",2023-04-01,1
"SK04",2023-04-02,1
"SK04",2023-04-10,1
"SK19",2023-04-11,1
"SK19",2023-04-12,1
"SK19",2023-04-13,1
"SK19",2023-04-14,1
"SK19",2023-04-15,1
"SK19",2023-04-16,1
"SK19",2023-04-17,1
"SK19",2023-04-18,1
"SK19",2023-04-19,1
"SK19",2023-04-20,1
"SK19",2023-04-21,1
"SK19",2023-04-22,1
"SK19",2023-04-23,1
"SK19",2023-04-24,1
"SK19",2023-04-25,1
"SK01",2023-05-27,1
"SK16",2023-04-07,1
"SK16",2023-04-08,1
"SK16",2023-04-12,1
"SK16",2023-04-16,1
"SK16",2023-04-19,1
"SK05",2023-04-26,1
"SK05",2023-04-27,1
"SK05",2023-04-29,1
"SK10",2023-04-06,1
"SK10",2023-04-12,1
"SK10",2023-04-15,1
"SK10",2023-04-16,1
"SK05",2023-03-27,1
"SK05",2023-03-28,1
"SK05",2023-04-01,1
"SK05",2023-04-02,1
"SK05",2023-04-06,1
"SK19",2023-03-28,1
"SK19",2023-03-29,1
"SK19",2023-03-27,1
"SK19",2023-03-31,1
"SK19",2023-04-01,1
"SK19",2023-04-02,1
"SK19",2023-04-03,1
"SK19",2023-04-04,1
"SK19",2023-04-06,1
"SK19",2023-04-07,1
"SK19",2023-04-08,1
"SK19",2023-04-09,1
"SK19",2023-04-10,1
"SK09",2023-05-26,1
"SK09",2023-05-27,1
"SK09",2023-05-28,1
"SK09",2023-05-29,1
"SK09",2023-05-30,1
"SK09",2023-06-01,1
"SK09",2023-06-02,1
"SK09",2023-06-03,1
"SK09",2023-06-04,1
"SK09",2023-06-05,1
"SK09",2023-06-06,1
"SK09",2023-06-07,1
"SK26",2023-05-07,1
"SK26",2023-05-08,1
"SK26",2023-05-09,1
"SK13",2023-04-26,1
"SK13",2023-05-01,1
"SK13",2023-05-04,1
"SK13",2023-05-06,1
"SK13",2023-05-07,1
"SK13",2023-05-10,1
"SK13",2023-05-16,1
"SK13",2023-05-17,1
"SK07",2023-04-04,1
"SK07",2023-04-06,1
"SK07",2023-04-11,1
"SK07",2023-04-19,1
"SK07",2023-04-20,1
"SK07",2023-04-22,1
"SK22",2023-03-28,1
"SK22",2023-03-29,1
"SK22",2023-04-03,1
"SK22",2023-04-04,1
"SK22",2023-04-07,1
"SK22",2023-04-08,1
"SK22",2023-04-09,1
"SK22",2023-04-10,1
"SK22",2023-04-11,1
"SK22",2023-04-13,1
"SK22",2023-04-15,1
"SK22",2023-04-17,1
"SK22",2023-04-19,1
"SK22",2023-04-21,1
"SK22",2023-04-26,1
"SK14",2023-04-21,1
"SK14",2023-04-22,1
"SK03",2023-04-05,1
"SK03",2023-04-09,1
"SK03",2023-04-10,1
"SK03",2023-04-11,1
"SK03",2023-04-16,1
"SK03",2023-04-18,1
"SK23",2023-06-05,1
"SK11",2023-04-27,1
"SK11",2023-04-28,1
"SK11",2023-04-30,1
"SK11",2023-05-01,1
"SK11",2023-05-02,1
"SK11",2023-05-03,1
"SK02",2023-03-28,1
"SK02",2023-03-30,1
"SK02",2023-04-03,1
"SK02",2023-04-04,1
"SK06",2023-04-30,1
"SK06",2023-05-04,1
"SK22",2023-05-24,1
"SK22",2023-05-29,1
"SK18",2023-04-08,1
"SK18",2023-04-15,1
"SK18",2023-04-20,1
"SK24",2023-04-17,1
"SK24",2023-04-19,1
"SK15",2023-05-23,1
"SK15",2023-05-25,1
"SK15",2023-05-27,1
"SK15",2023-05-29,1
"SK15",2023-06-06,1
"SK03",2023-05-31,1
"SK18",2023-05-03,1
"SK18",2023-05-05,1
"SK18",2023-05-08,1
"SK18",2023-05-11,1
"SK18",2023-05-16,1
"SK11",2023-03-26,1
"SK11",2023-03-27,1
"SK11",2023-03-29,1
"SK11",2023-03-30,1
"SK11",2023-04-03,1
"SK11",2023-04-04,1
"SK11",2023-04-05,1
"SK11",2023-04-06,1
"SK11",2023-04-07,1
"SK11",2023-04-08,1
"SK11",2023-04-09,1
"SK11",2023-04-11,1
"SK03",2023-04-25,1
"SK03",2023-04-28,1
"SK03",2023-04-29,1
"SK03",2023-05-02,1
"SK21",2023-04-14,1
"SK21",2023-04-18,1
