"locationName","Domestic Cat","European Polecat","Small Mustelid","Weasel","Stoat","Mustelid","Marten","running_days"
"SK01",19,3,1,1,0,0,0,69
"SK02",5,1,6,4,4,0,0,53
"SK03",4,0,5,1,6,3,0,71
"SK04",7,8,3,0,0,1,9,74
"SK05",4,1,2,2,27,0,1,64
"SK06",4,0,0,0,0,1,1,70
"SK07",6,1,1,0,0,4,2,74
"SK08",3,20,6,0,1,11,2,74
"SK09",3,17,22,3,11,1,1,74
"SK10",3,0,1,1,25,0,0,74
"SK11",0,0,17,0,1,3,34,56
"SK12",0,1,1,1,8,0,2,74
"SK13",3,3,16,0,0,1,23,74
"SK14",5,0,2,0,0,1,1,74
"SK15",0,5,4,0,0,0,3,74
"SK16",0,1,3,5,16,0,0,74
"SK17",0,0,0,3,2,0,0,35
"SK18",0,0,3,9,1,0,4,63
"SK19",0,9,2,25,36,0,71,74
"SK20",0,0,0,3,1,0,1,74
"SK21",0,1,12,0,1,0,0,63
"SK22",3,19,11,3,2,0,7,71
"SK23",0,1,4,3,5,0,1,74
"SK24",0,10,10,11,3,0,0,58
"SK25",14,0,1,0,2,0,1,73
"SK26",0,1,1,0,3,0,1,63
"SK27",2,7,3,0,0,0,7,74
"SK28",2,9,25,5,2,0,0,60
"SK29",1,1,2,0,1,0,2,74
"SK30",0,2,7,0,0,0,1,74
